(Log @ 18.38.11): Working directory changed from "" to "C:\Users\Tim Roberts\Documents\1_NevronEngine\bin\"
(Log @ 18.38.11): NevronEngine initializing...
(Multiplication time @ 18.38.47): 87.643296ns
(Multiplication time @ 18.38.47): 91.895506ns
(Multiplication time @ 18.38.47): 88.903397ns
(Multiplication time @ 18.38.47): 88.861197ns
(Framerate @ 18.38.47): 10.776582
(Multiplication time @ 18.38.47): 92.109904ns
(Multiplication time @ 18.38.47): 87.960094ns
(Multiplication time @ 18.38.47): 90.765297ns
(Multiplication time @ 18.38.47): 87.582499ns
(Multiplication time @ 18.38.47): 91.442600ns
(Multiplication time @ 18.38.47): 89.782894ns
(Multiplication time @ 18.38.48): 89.895397ns
(Multiplication time @ 18.38.48): 88.153906ns
(Multiplication time @ 18.38.48): 89.797907ns
(Multiplication time @ 18.38.48): 89.298099ns
(Multiplication time @ 18.38.48): 91.779403ns
(Multiplication time @ 18.38.48): 90.268999ns
(Multiplication time @ 18.38.48): 89.629203ns
(Multiplication time @ 18.38.48): 89.596197ns
(Multiplication time @ 18.38.48): 88.308707ns
(Multiplication time @ 18.38.48): 90.132497ns
(Multiplication time @ 18.38.48): 89.050099ns
(Multiplication time @ 18.38.49): 89.808397ns
(Multiplication time @ 18.38.49): 86.805798ns
(Multiplication time @ 18.38.49): 89.763299ns
(Multiplication time @ 18.38.49): 95.482402ns
(Multiplication time @ 18.38.49): 97.402304ns
(Multiplication time @ 18.38.49): 88.253103ns
(Multiplication time @ 18.38.49): 89.675903ns
(Multiplication time @ 18.38.49): 86.975001ns
(Multiplication time @ 18.38.49): 89.055397ns
(Multiplication time @ 18.38.49): 90.707101ns
(Multiplication time @ 18.38.49): 90.959296ns
(Multiplication time @ 18.38.50): 88.001907ns
(Multiplication time @ 18.38.50): 88.003598ns
(Framerate @ 18.38.50): 10.814552
(Multiplication time @ 18.38.50): 89.075506ns
(Multiplication time @ 18.38.50): 88.761397ns
(Multiplication time @ 18.38.50): 89.304604ns
(Multiplication time @ 18.38.50): 89.203797ns
(Multiplication time @ 18.38.50): 90.785399ns
(Multiplication time @ 18.38.50): 87.137997ns
(Multiplication time @ 18.38.50): 89.038894ns
(Multiplication time @ 18.38.50): 91.198899ns
(Multiplication time @ 18.38.51): 90.022899ns
(Multiplication time @ 18.38.51): 87.935202ns
(Multiplication time @ 18.38.51): 88.440999ns
(Multiplication time @ 18.38.51): 88.973001ns
(Multiplication time @ 18.38.51): 89.712307ns
(Multiplication time @ 18.38.51): 88.601999ns
(Multiplication time @ 18.38.51): 88.494301ns
(Multiplication time @ 18.38.51): 89.446701ns
(Multiplication time @ 18.38.51): 87.273203ns
(Multiplication time @ 18.38.51): 92.343107ns
(Multiplication time @ 18.38.51): 88.066496ns
(Multiplication time @ 18.38.52): 90.716496ns
(Multiplication time @ 18.38.52): 87.558202ns
(Multiplication time @ 18.38.52): 89.075506ns
(Multiplication time @ 18.38.52): 89.249298ns
(Multiplication time @ 18.38.52): 90.355799ns
(Multiplication time @ 18.38.52): 88.457696ns
(Multiplication time @ 18.38.52): 90.474099ns
(Multiplication time @ 18.38.52): 92.786402ns
(Multiplication time @ 18.38.52): 87.346494ns
(Multiplication time @ 18.38.52): 96.015804ns
(Multiplication time @ 18.38.52): 91.319002ns
(Framerate @ 18.38.53): 9.995332
(Multiplication time @ 18.38.53): 92.612095ns
(Multiplication time @ 18.38.53): 92.610493ns
(Multiplication time @ 18.38.53): 89.777105ns
(Multiplication time @ 18.38.53): 91.272801ns
(Multiplication time @ 18.38.53): 90.732798ns
(Multiplication time @ 18.38.53): 88.058397ns
